"model","npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
"model_basic","11","0.106173857293014","1737.21665302829","4","0","8668.40185543435","11","0","0.799799445379756","0.449448474794329","0.449448474794329","0.448878135150968","0.799592049145807","0.29076074514393","0.799961188095032","0.799799445379756","-11578.0727948788","-10709.4644683646","23178.1455897576","23255.2508561442","8181","23220.2949528395","0.23014059659443","0.221110194403531","0.239303516911318","0","0.148585209450697","0.166123314391399","0.0763882089580197","0.0763882089580197","0.0854046139547884","0.0786038745313085","0.0907639358811171","0.072163425202491","0.0806811618181986","45.6801561075311","63.523414305968","0.841203338285275","-0.389470790003843","0.09613752437546","0.899488160130211","0.215036872390696"
"model_full","25","0.305529832831587","3944.39014185578","35","0","10621.3145254596","50","0","0.630188834847308","0.471698335496154","0.471698335496154","0.469477808393009","0.628634465875106","0.440044126112574","0.630712829053596","0.630188834847308","-47539.7297386524","-45567.5346674974","95129.4594773047","95298.7747348868","6455","95219.3311338617","0.131544399054756","0.128092998105988","0.135029133056349","0","1.06344055757679","1.13686577647205","0.0998516696620595","0.0998516696620595","0.106745924963644","0.103689650174297","0.111997554477699","0.0980497291939629","0.104819507141092","82.5007966761359","94.8403836090651","0.803660922226607","0.416592454616204","0.270462810364724","0.738732975048622","0.618805599048146"
"model_control","26","0.128161193636295","2028.02272810073","89","0","4950.40233092741","105","0","0.599822141553806","0.52788005464213","0.52788005464213","0.516683508981358","0.590331736184198","0.500376424003749","0.601139219487143","0.599822141553806","-158860.049045174","-157846.037681124","317772.098090348","317953.477623054","7912","317870.85479493","0.0524751039071105","0.0505056986395433","0.0544702477876153","0.0194995951390545","0.103502626846888","0.103502626846888","0.0456710025369296","0.0456710025369296","0.0456710025369296","0.0486204401658804","0.0486204401658804","0.0456709731329068","0.0456709731329068","438.035511965158","480.638973819106","0.947985747828843","0.920517547244075","0.620373026152699","0.884673325728416","0.262894682520315"
"model_conspiracy","14","0.161893442221361","2549.49792810199","11","0","392.294653253255","6","0","0","-2.58440175614445","-2.58440175614445",NA,NA,"-10.0813830567373","-5.65757546412781","-5.57140321959815",NA,NA,NA,NA,NA,NA,"0.171207165962516","0.165645895646489","0.176835589513312","0","0.25002666438609","0.295835538882076","0.0632948799952936","0.0534939371305532","0.0632948799952936","0.0632949548125597","0.0817134352959964","0.0534940021306961","0.0632949569044984","61.7579854850278","77.3521668777844","0.816116132919537","0.582082120271674","0.359091098484596","0.851108709585922",NA
"basic_26-5","15","0","0","0",NA,"8668.40185543435","11","0","1","1","1","1","1","0","1","1","-10709.4644683646","-10709.4644683646","21448.9289367293","21554.072481802","8181","21506.405340932","0","0","0",NA,"3.96597848856247e-09","4.4153719602477e-09","2.1188856550351e-09","2.1188856550351e-09","2.27842647021259e-09","1.97747696959945e-09","2.15710886626517e-09","1.94830069923155e-09","2.079487520683e-09",NA,NA,"1","1","0","1","0.00366703337000367"
"full_26-5","42","0.051059603000855","659.179474741038","27","0","10673.3006962742","57","0","0.940451999917174","0.874287555380701","0.874287555380701","0.869618485139468","0.938240335066064","0.444429632399715","0.940619799047919","0.940451999917174","-53236.311991101","-52906.7222537362","106556.623982202","106841.07361494","6455","106707.608365218","0.0602268556972609","0.056291991826028","0.0642527360896032","1.11677235257179e-05","1.16859296974373","1.2492784335353","0.0447789283130644","0.0447789283130644","0.0478706879697211","0.0468956606627107","0.0506530676691734","0.0441639835668742","0.0472132521027177","393.808303550088","460.883541632365","0.967088872238067","0.873231211583664","0.251071149523344","0.952211408600127","0.115132374088464"
"control_26-5","40","0.163615130837025","2588.71860010341","103","0","5555.71970694252","121","0","0.542622483929014","0.462692432576803","0.462692432576803","0.452615289147153","0.534044419687246","0.454599795270962","0.544132335110031","0.542622483929014","-168208.422266301","-166914.062966249","336496.844532602","336775.884911602","7911","336648.772869612","0.055232115313791","0.053401942175919","0.0570835262314315","1.42153929716393e-06","0.0955834341981495","0.10075378621519","0.0472912960627605","0.0472912960627605","0.049849403019835","0.049849217651836","0.0528730797560506","0.0472911919466427","0.0498492932703257","391.212407648679","426.685376202091","0.951547342855666","0.920029595004497","0.576525743024315","0.854614141890273","0.337342763254128"
"anxiety_26-5","40","0.167007501155384","2650.40904333594","103","0","6875.57293448956","121","0","0.622861568297145","0.556953881203443","0.556953881203443","0.547152309717296","0.614518081825467","0.523102168826637","0.623863918782894","0.622861568297145","-152254.181406255","-150928.976884587","304588.362812509","304867.524357828","7935","304740.412285259","0.0558286678647724","0.0540015950176418","0.0576767115918603","0","0.0927854555050793","0.0978044577107091","0.0482017982939569","0.0482017982939569","0.0508091566416136","0.0508072590661056","0.0538892361202037","0.0482008047032168","0.0508081092970138","383.286146969339","418.038564381083","0.950681711537126","0.918600883119528","0.576001272284259","0.851703116226115","0.344096917874725"
